terminologyId	domain
51000003100	Demo
51000210100	NA
541000172109	General / Allergies
551000172106	General / Allergies
557481000005101	Drugs
5601000003101	Renal
561000172108	General / Allergies
5741000202109	Helsedirektoratet
5751000202107	Helsedirektoratet
59041000052103	Hypersensitivity
5961000202107	Legemidler
6	Ophthalmology
6001000202100	Legemidler
61000210102	NA
61000269105	Respiratory department
611000202102	NORPAT
61411000210102	test
62931000003106	implementation education
63001000003106	implementation education
63301000003109	implementation education
63341000003107	implementation education
63691000003108	Cardiac conditions subset
63761000003107	Pain Quality Subset
63851000003102	Skin Texture Subset
63881000003107	Skin Texture Subset
64131000003104	Skin Texture Subset
6721000202109	Helsedirektoratet
6991000202105	Helsedirektoratet
71000057100	Patient sex
71000210108	NA
712768323888	Specimen
712768323948	Specimen
721000172106	GP
721144007	Dentistry
723264001	anatomy
731000172109	FHIR
733990004	Procedures
733991000	Diagnosis
741000172102	FHIR
751000172100	FHIR
76941000003107	all
771000202103	Patologi
784308004	Renal
78931000003103	Cardiology- implementation course module D
78951000003109	Pain Quality Subset
78991000003102	Skin Texture Subset
8	Pediatrics
80191000003107	implementation education
81691000003105	Module D Assignment
82701000003101	all
8271000003100	dental
83641000003102	all
84071000003104	all
84151000003108	all
84261000003100	all
85551000003104	all
85561000003101	all
85581000003109	all
85601000003101	all
85611000003104	Disorderd
876	Diagnósticos
87701000003104	Cardiac conditions subset
891000202109	Prosedyrer
89261000202102	Legemidler
91000210107	NA
951000003107	Opthalmology
971000003104	Cardiology
997321000189101	General
997341000189105	General
ALLMENN	Fastleger-hp
D002486	Diagnosis
FDB3	test
FindCovid	Sintomas
Haematopoietic	test
LateralCHUP	anatomy
NZ-GPsets	Fastleger
Sample	general medicine
Social Care regimes	regime/therapy
