id	terminologyId
12260613	500041000057108
12260614	TMP-c4kzqo
12260615	500111000057108
12260616	500101000057105
12260617	500061000057107
12260618	500051000057105
12260619	500071000057102
12260620	500081000057104
12260621	123456789
12260631	62201000052106
12274855	62161000052101
12274856	62181000052107
12274857	62151000052104
12274858	62191000052109
12274864	TMP-4wrp2r
12274869	500091000057101
12274873	56421000052109
12274875	59781000052106
12274877	62161000052101
12274878	62181000052107
12274879	62151000052104
12274880	62171000052105
12274882	58181000052100
12274884	60401000052109
12274886	60411000052106
12274888	60421000052103
12274890	62191000052109
12274892	53351000052100
12274894	53361000052102
12274896	46051000052106
12274898	56431000052106
12274900	53371000052106
12278654	53381000052108
12278656	53611000052108
12278658	60381000052109
12278660	60391000052106
12278663	test
12278664	TMP-e9c3a9
12278666	TMP-oor2i6
12278668	1081000202100
12284912	18291000003104
12284914	TMP-w0svbc
12284916	TMP-jmo38q
12284938	TMP-1hq2mi
12284939	TMP-0ha6jv
12284940	TMP-o3ihvj
12284941	TMP-r47300
12284942	123456768
12284943	11122233
12284944	1112234
12305058	TMP-c95llx
12305063	TMP-kvmw0g
12305064	TMP-tz2yee
12305070	TMP-hi6no3
12305071	TMP-494xzy
12305072	TMP-czvqjd
12305100	1091000202103
12375102	TMP-gthwji
12375103	TMP-p27e1r
12375105	TMP-9fut60
12375111	TMP-jjwam1
12375112	TMP-fn29yg
12375113	TMP-obfttx
16138755	351000210106
16138756	421000210109
16138757	91000210107
16175303	191000210102
16175304	471000210108
16175305	261000210101
16175306	61000210102
16175307	71000210108
16175308	321000210102
16175309	141000210106
16175313	241000210102
16175314	181000210104
16175315	131000210103
16175316	101000210108
16175317	451000210100
16175318	461000210102
16175319	501000210102
16175320	391000210104
16175321	251000210104
16175322	121000210100
16175323	481000210105
16175324	51000210100
16175325	441000210103
16515903	1091000202103
16517104	TMP-yk73wu
16517105	723264001
16598676	TMP-7aje8e
16598679	12345001
16598681	TMP-hqn1fl
16903953	TMP-keizks
21726203	TMP-l8stq8
21726205	TMP-aaf93f
21726208	TMP-mwg5gi
21726209	TMP-8dsozm
21865503	TMP-jc4x2f
21928553	1091000202103
21928554	1091000202103
21932253	1091000202103
21932254	62171000052105
21932255	1301000202105
21932256	1311000202107
21932257	1291000202106
21932264	1051000202108
21995260	TMP-xu6js1
21995262	TMP-7be4bz
21995263	TMP-v6curq
21995264	1281000202109
21995265	1271000202107
22031203	TMP-rpcyut
22031204	TMP-ww3x3z
22031205	TMP-lpf5ku
22031206	TMP-knhnvs
22031207	TMP-eu5vrq
22031208	TMP-qrui36
22031209	TMP-c6devn
22031210	TMP-wia63j
22031211	TMP-drwl2x
22031212	TMP-paovbj
22031213	TMP-5959sz
22031214	TMP-aevlq9
22031215	TMP-ztjosx
22031216	TMP-6bo3ph
22031217	TMP-i4414j
22031218	1621000202106
22031219	TMP-mxcheu
22031220	TMP-u2um3j
22031221	TMP-568nl6
22031222	TMP-kznqth
22031223	TMP-oa2h4h
22031224	TMP-zkcp2r
22031225	TMP-aa358h
22031227	TMP-cgghgc
22031228	TMP-36j3pc
22031229	TMP-ygo82d
22031230	11621000202109
22031231	TMP-xzaj4j
22031232	TMP-asfpph
22031233	TMP-qel28a
22031234	TMP-6lobsv
22031235	TMP-xe4j14
22031237	21000188104
22255006	TMP-raqhe8
22255012	561000172108
22255013	551000172106
22255014	541000172109
22292809	TMP-omqm20
22354203	TMP-3t29v7
22478503	TMP-svhavk
22478524	1291000202106
22478525	1311000202107
22478528	1311000202107
22478529	1081000202100
22653103	1291000202106
22653105	1311000202107
22653108	1051000202108
22665103	TMP-x1pucs
22771604	561000172108
22771605	541000172109
22771606	551000172106
22771608	1281000245109
22771609	1281000245109
22780105	1681000202107
22780106	1681000202107
22780108	1051000202108
22780109	1681000202107
22786607	1681000202107
22823553	TMP-eqb0tx
22823554	1771000202104
22846761	351000210106
22846762	421000210109
22846763	91000210107
22846764	191000210102
22846765	241000210102
22846766	471000210108
22846767	261000210101
22846768	61000210102
22846769	71000210108
22846770	321000210102
22846771	141000210106
22846772	181000210104
22846773	131000210103
22846774	101000210108
22846775	451000210100
22846776	461000210102
22846777	501000210102
22846778	391000210104
22846779	251000210104
22846780	121000210100
22846781	481000210105
22846782	51000210100
22846783	441000210103
22846789	TMP-6rqvew
23049404	TMP-sg4gfg
23049405	64511000052102
23049412	64691000052109
23049413	987654321
23049419	TMP-1mtxzm
23049427	1921000202100
23049428	TMP-r9y2l9
23049429	TMP-ti5j43
23049430	TMP-x8ncf4
23049431	TMP-s00xcv
23049432	TMP-bx98rh
23049436	TMP-6y0huk
23049437	TMP-zvkjvs
23049439	TMP-d2xbpc
23049440	TMP-939gyb
23049441	TMP-u7intn
23049442	TMP-exa3hk
23049443	TMP-cj63mn
23049444	TMP-udl36l
23049448	TMP-9adyjd
23049449	TMP-ek29mc
23049450	TMP-rmsbva
23049451	TMP-4ufgsd
23049452	TMP-r56s0x
23871104	TMP-dk3apm
23871105	TMP-xzesl6
23871106	TMP-l0p4wv
23871107	TMP-vaaom0
23871108	TMP-j5r3u8
23871110	TMP-3hxp40
23871111	TMP-x50k7d
23871112	TMP-djcd5l
23871113	TMP-len1cb
23871114	TMP-jr4rs4
23871118	TMP-0bilf8
23871119	TMP-w8hx3k
23871121	TMP-dttrrk
23871122	TMP-smir87
23871125	TMP-zzbcuh
23871126	60001000052100
23914203	TMP-sx3ofw
23914204	TMP-e4cvmv
23914208	TMP-l4re6x
23914214	TMP-t5aa70
23914216	64641000052102
23914218	TMP-kfsvk0
23914220	TMP-kykvu3
23914221	TMP-pqqd1o
23914222	TMP-ddplt4
23914224	TMP-tdl0wg
23914226	TMP-39jbld
23914227	TMP-5bcx6f
23914228	TMP-vhxgf8
23914229	TMP-jx5fdq
23914230	TMP-imcxaj
23914231	TMP-swq8u1
23914232	TMP-k8c44f
23914244	TMP-a7eonx
23914245	TMP-wsbyub
23914251	TMP-04q9ld
24357907	TMP-prkzjz
24357908	TMP-c9a4a7
24357909	TMP-ys3kub
24357910	TMP-nbzyfi
24357911	TMP-311ygt
24357912	672411000189107
24357917	TMP-avd5ag
24357918	TMP-pwh8xc
24357919	TMP-y1nc2q
24357921	TMP-ti23y3
24357939	TMP-z0bmzv
24357940	TMP-3gfkk6
24357942	2361000181104
24357943	2561000181109
24357944	2571000181104
24357945	2551000181106
24452010	TMP-n04bmv
24452021	FindCovid
24452023	TMP-u6vnjw
24452024	TMP-ly9x72
24452025	TMP-d4kvjr
24452026	TMP-s9wujy
24452033	TMP-y866k4
24819640	TMP-qgp542
24931366	TMP-ckawbl
24931367	LateralCHUP
24931373	2361000181104
24931381	2551000181106
24931395	VascularCHUPDiagnósticos
24931396	2571000181104
24931397	2561000181109
24931398	141000181108
24931399	161000181109
24931400	321000181100
24931401	261000181104
24931402	361000181106
25118403	241000181100
25118404	281000181106
25118405	301000181107
25118406	331000181103
25118407	201000181103
25118408	231000181107
25118409	181000181102
25118410	221000181105
25118411	311000181109
25118412	271000181109
25118413	291000181108
25118414	TMP-oup4m6
25118415	141000181108
25118416	321000181100
25118417	161000181109
25118418	261000181104
25118419	361000181106
25118420	241000181100
25118421	281000181106
25118423	301000181107
25118424	331000181103
25118425	201000181103
25118426	231000181107
25118427	181000181102
25118428	221000181105
25118429	311000181109
25118430	271000181109
25118431	291000181108
25118433	251000181102
25118434	251000181102
25407778	37711000003109
25407784	31991000003105
25407785	59771000052109
25407786	62161000052101
25407787	62181000052107
25407788	62151000052104
25407789	56421000052109
25407790	59781000052106
25407791	59811000052109
25407792	59831000052104
25407793	53351000052100
25407794	53361000052102
25407795	60391000052106
25407796	62201000052106
25407797	59761000052100
25407798	60041000052102
25407799	59841000052105
25407800	59871000052102
25407801	58181000052100
25407802	63421000052107
25471603	60401000052109
25471604	60411000052106
25471605	60421000052103
25471606	59821000052101
25471607	62171000052105
25471608	56431000052106
25471609	62191000052109
25471610	53371000052106
25471611	53381000052108
25471612	59851000052108
25471613	60381000052109
25471614	59881000052100
25471615	46051000052106
25471625	500201000057102
25471626	500111000057108
25471627	500091000057101
25471628	500101000057105
25471629	500061000057107
25471630	500081000057104
25471631	500041000057108
25471632	500071000057102
25471633	500121000057102
25471634	500051000057105
25471641	59771000052109
25471642	59771000052109
25471643	62161000052101
25471644	62181000052107
25471645	62151000052104
25471646	56421000052109
25471648	59781000052106
25471649	59811000052109
25471650	59831000052104
25471651	64511000052102
25471652	53351000052100
25553153	53361000052102
25553154	60391000052106
25553155	62201000052106
25553156	59761000052100
25553157	60041000052102
25553158	59841000052105
25553159	59871000052102
25553160	58181000052100
25553161	63421000052107
25553162	60401000052109
25553163	60411000052106
25553164	60421000052103
25553165	46051000052106
25553167	62171000052105
25553168	56431000052106
25553169	62191000052109
25553170	53371000052106
25553171	53381000052108
25553172	60661000052106
25553173	59851000052108
25553174	60381000052109
25553175	59881000052100
25553179	500201000057102
25553180	500111000057108
25553181	500091000057101
25553182	500101000057105
25553183	500061000057107
25553184	500081000057104
25553185	500041000057108
25553186	500071000057102
25553187	500121000057102
25553188	500051000057105
25553189	53611000052108
25553190	59861000052106
25553191	60691000052103
25553194	59861000052106
25553195	60691000052103
25553196	53611000052108
25553199	64641000052102
25553200	723264001
25718053	11000210104
25718054	121000210100
25877653	723264001
25877654	1981000202104
25877655	1991000202102
25877656	2001000202104
25877657	1971000202101
25877658	1771000202104
25877659	1281000202109
25877660	1761000202108
25877661	1761000202108
25877662	1271000202107
25877666	131000210103
25877667	141000210106
25877669	141000210106
25877670	11000210104
25877672	181000210104
25877673	181000210104
25877674	261000210101
25877675	191000210102
25877676	21000210109
25877677	241000210102
25877678	241000210102
25877679	21000210109
25877680	251000210104
25877681	251000210104
25877682	131000210103
25877683	121000210100
25877684	TMP-yc8794
25877686	1991000202102
25877687	997321000189101
25877688	TMP-luog8t
25877689	TMP-29960m
25877690	TMP-eo6zqx
25877693	1991000202102
26095606	1991000202102
26095607	1991000202102
26095608	1991000202102
26095612	TMP-yzcw2i
26095613	TMP-4y9rpi
26095614	TMP-zn2k50
26095615	1991000202102
26095616	1991000202102
26095618	TMP-db4oy5
26095622	751000220104
26095624	TMP-l9oxuy
26095625	TMP-fnnoix
26095628	2081000202106
26095629	2081000202106
26095630	1311000202107
26350254	787778008
26350263	894081003
26350265	TMP-kjuwig
26350266	TMP-avulpi
27862704	123456789
27862705	1234567
27862706	TMP-a4gxo3
27862707	TMP-0qcj2q
27862708	TMP-o0cdri
27862711	TMP-fg5hf8
28025855	TMP-ot128k
28025857	TMP-j1d35y
28025858	TMP-2yvydy
28025863	TMP-7cm964
28025866	TMP-7cm964
28025868	Social Care regimes
28025869	764976999
28025874	TMP-hrofkr
28025875	1311000202107
28025877	TMP-hsyjcz
28025881	TMP-g2arlj
28241253	TMP-jlekvt
28241258	683861000189108
28241290	TMP-9qyxrp
28241291	TMP-9qyxrp
28458815	TMP-nv3hfl
28458824	5871000003109
28458825	TMP-14bczg
28458826	heda
28458833	5601000003101
28458835	721144007
28458836	TMP-qiui6c
28458840	TMP-ed1451
28458841	TMP-p4b7kb
28971330	TMP-zjl2nq
28971331	50931000210104
28971332	50941000210107
28971336	TMP-pcx3sl
28971339	Age
28971345	Gender
28971347	Racial group
28971348	Ethnicity
28971350	Education
28971352	Social and personal history
29368704	Health Literacy
29368706	Finding related to health literacy
29368707	Stress
29368708	Anxiety
29368709	Personal assessment
29368710	TMP-1704mv
29368712	Nutrition
29368713	Activity
29368715	Tobacco use
29368716	Tobacco exposure
29368717	Social support
29368718	Alcohol use
29368719	Substance abuse
29368720	Sexual practices
29368722	TMP-ilny7d
29368723	Social/personal history
29368724	Psychosocial functioning
29368725	Risk for violence
29368726	Family support
29368727	Employment
29368728	Incarceration
29368729	Physical environment
29368730	Personal environment
29368731	Exposure to harmful event
29368732	Housing
29368736	TMP-2yz7tk
29852953	TMP-rbjmnb
29852956	TMP-kunfn0
29852958	351000210106
29852959	131000210103
29852960	101000210108
29852961	141000210106
29852962	181000210104
29852964	501000210102
29852965	391000210104
29852966	321000210102
29852967	71000210108
29852968	61000210102
29852969	771000220108
29852970	50941000210107
29852971	50931000210104
29852973	561000172108
29852976	541000172109
29852977	551000172106
29852985	TMP-ym4e9e
29852986	TMP-nwnfm4
29852989	791000220109
29852990	TMP-jaqmjq
29852992	461000210102
29852995	721145008
29852997	816080008
29853001	811000220108
29853002	733991000
30701303	733990004
30701306	450970008
30701308	787778008
30701315	TMP-gyxe8n
30701316	TMP-qtun8a
30701317	831000220103
30701318	811000220108
30701319	821000220101
30701320	841000220107
30701322	811000220108
4211201	1234
4211202	12345
4211203	12345001
4222810	31000151104
4222811	31000151104
4222812	TMP-pqgwf1
4222813	TMP-wjbgj5
4236202	TMP-k6bdg3
4265960	TMP-ykhjle
4265967	TMP-xhjnfb
4265974	TMP-w2h334
4265975	TMP-r5xdtd
4276153	TMP-pbcsvm
4276155	TMP-cniiix
4276170	TMP-sk1j6f
4276172	11000003104
4276174	TMP-rj0am0
4276184	TMP-4htiyy
4276190	TMP-gczcoz
4459708	TMP-t9v2m3
4459713	TMP-s9vczd
4477752	TMP-m3thw9
4500951	46051000052106
4500952	53361000052102
4500953	53351000052100
4500955	53371000052106
4500956	53381000052108
4500957	53611000052108
4512305	TMP-pn9li5
4513661	TMP-iwcfvk
4513684	TMP-rn35mh
4513687	TMP-kyo4d1
4513694	TMP-5ev02m
4665552	722130004
4665553	722131000
4665554	722129009
4665555	722128001
4681552	21000003109
4830370	53361000052102
4830371	46051000052106
4830372	53371000052106
4830373	53381000052108
4830375	53611000052108
4830378	53351000052100
4830381	46051000052106
4830382	53351000052100
4830383	53361000052102
4830384	53371000052106
4830385	53381000052108
4830387	53611000052108
4851101	TMP-hjdu4b
4851102	TMP-yzo0j9
4851103	TMP-wbfrbm
4851104	TMP-w2vcke
4851111	TMP-nzk79c
4851113	41000003103
4921701	371000202104
4921714	TMP-1vytwb
4921728	TMP-lmo338
5099582	51000003100
5099583	TMP-ttimpq
52488253	TMP-o64xzm
52488259	TMP-clmkyk
52488260	894081003
52488261	TMP-g72oga
52488262	TMP-gvyvx8
52488263	TMP-ysl57b
52488265	TMP-jtv3qq
52488269	821000220101
52488270	841000220107
52488272	831000220103
52561711	TMP-s83vbl
52561712	LR_001
52561713	TMP-c7tcsl
52697153	31000210106
52697154	311000210107
52697182	63181000052104
52904921	1
52904927	TMP-mqzs7c
52904939	teste
52904947	1001000189107
52904948	1001000189107
52904950	1001000189107
53347162	3221000181107
53347163	3231000181109
53347179	1011000189109
53347180	1011000189109
53347182	1021000189101
53347183	1021000189101
53347185	1021000189101
53347187	1031000189104
53347188	1031000189104
53347190	1151000189109
53347192	1151000189109
53347200	1161000189107
53347201	1161000189107
53990703	1171000189103
53990705	1181000189101
53990706	1181000189101
53990709	66831000052100
53990710	1191000189104
53990711	1191000189104
53990713	1201000189102
53990714	1201000189102
53990716	1201000189102
53990717	TMP-g2e0r1
53990718	1041000189105
53990719	1041000189105
53990721	1041000189105
53990722	1051000189108
53990723	68661000052109
53990724	67071000052109
53990725	67081000052106
53990726	1051000189108
53990728	1051000189108
53990729	1061000189106
53990730	1061000189106
53990732	1061000189106
54520357	67031000052107
54520358	68591000052102
54520360	67051000052103
54520361	68581000052104
54520379	1071000189102
54520380	1071000189102
54520382	1211000189100
54520383	1211000189100
54520385	1221000189108
54520386	1221000189108
54520389	45791000003109
54520390	45801000003108
54520391	5401000202100
54520392	TMP-5xizsu
54520396	TMP-ycuxpp
54520397	45841000003106
54520398	TMP-hhzuf3
54520399	TMP-owq7zz
54816804	1231000189105
54816805	1231000189105
54816808	ALLMENN
54816809	NZ-GPsets
54816811	1241000189104
54816813	TMP-w8frcr
5493553	1061000195107
5493554	1071000195101
5493555	1111000195106
5493556	1121000195101
5493557	1201000195101
5493558	1081000195104
5493559	1091000195102
5493560	1101000195109
5510657	TMP-cqw66j
55146254	TMP-5odbyq
55146255	TMP-3vnbqf
55146256	TMP-j0r2wr
55146257	TMP-bf5wzx
55146260	1241000189104
55146267	1251000189101
55146268	1251000189101
55146270	1081000189100
55146271	1081000189100
55146273	1261000189103
55146274	1261000189103
55146280	1271000189107
55146281	1271000189107
55146283	1091000189103
55146284	1091000189103
55146286	1091000189103
55146287	1281000189109
55146291	TMP-i7yb7s
55146292	TMP-0dmvfc
55146293	TMP-lsylis
55146294	TMP-dks04f
55146295	TMP-fu79eb
55146296	TMP-kr80l9
55146297	TMP-pn25uv
55146298	TMP-tk9om5
55146299	TMP-nt5zk9
55146300	TMP-f51w3v
55146301	TMP-z4o44g
55146302	TMP-5gh8jh
55451553	TMP-1j5sv5
55451554	TMP-2jo1ie
55451555	TMP-uo5lcd
55451556	TMP-nufyh9
55451557	TMP-1s0vbq
55451558	TMP-upybjt
55451559	TMP-jqwhsm
55451560	TMP-mleuoo
55451561	TMP-fbflmd
55451562	TMP-bwqg0y
55451563	TMP-tt7l8v
55451564	TMP-hqs97f
55451571	1281000189109
55451573	1291000189106
55451575	1291000189106
5562851	TMP-vgoa0a
5562855	TMP-biazc1
5562857	TMP-xes4n6
55855353	59771000052109
55855354	62161000052101
55855355	62181000052107
55855358	TMP-122a3o
55855360	TMP-14ejjc
55855361	TMP-ngaymq
55855363	TMP-6dnidr
55855364	D002486
55855365	TMP-509dpb
55855366	12345
55855367	TMP-kviheh
55855368	TMP-ao02m1
55855369	TMP-xnup9b
55855371	TMP-xwf9ga
55855373	1101000189108
55855374	1101000189108
55855376	1111000189105
55855377	1111000189105
55855380	5741000202109
55855392	2361000181104
55855402	TMP-17fpqa
56162314	5751000202107
56162315	5751000202107
56162316	56421000052109
56162317	64641000052102
56162318	59781000052106
56162319	59811000052109
56162320	59831000052104
56162321	64511000052102
56162322	53351000052100
56162323	53361000052102
56162324	60391000052106
56162326	66831000052100
56162327	68591000052102
56162328	59761000052100
56162329	60041000052102
56162330	59841000052105
56162331	59871000052102
56162332	60001000052100
56162333	58181000052100
56162334	63421000052107
56162335	60401000052109
56162336	60411000052106
56162337	60421000052103
56162338	67031000052107
56162339	46051000052106
56162341	62171000052105
56162342	56431000052106
56162343	62191000052109
56162344	53371000052106
56162345	53381000052108
56162346	60661000052106
56162347	59851000052108
56162348	68661000052109
56162349	67081000052106
56162350	67051000052103
56162351	67071000052109
56162352	60381000052109
56190253	59881000052100
56190254	59861000052106
56190255	60691000052103
56190256	53611000052108
56190257	68581000052104
56190258	500201000057102
56190259	63181000052104
56190260	500111000057108
56190261	500091000057101
56190262	500101000057105
56190263	500061000057107
56190264	500081000057104
56190265	500041000057108
56190266	500071000057102
56190267	500121000057102
56190268	500051000057105
56190269	62151000052104
56190284	1011000189109
56190285	1031000189104
56190286	1131000189100
56190287	1131000189100
56190296	1131000189100
56190297	1161000189107
56190298	1171000189103
56190299	141000181108
56190300	161000181109
56190301	321000181100
56190302	2571000181104
5639504	11000202100
5639514	721144007
56849653	261000181104
56849654	361000181106
56849655	241000181100
56849656	281000181106
56849657	251000181102
56849658	2561000181109
56849659	301000181107
56849660	2551000181106
56849661	331000181103
56849662	201000181103
56849663	231000181107
56849664	181000181102
56849665	3231000181109
56849666	3221000181107
56849667	221000181105
56849668	311000181109
56849669	271000181109
56849670	291000181108
56849677	1181000189101
56849678	1191000189104
56849680	1071000189102
56849681	1211000189100
56849682	1231000189105
56849683	1111000189105
56849684	1101000189108
56849687	TMP-86sgza
56849689	1081000189100
56849690	1251000189101
56849691	1241000189104
56849692	1221000189108
56849693	1281000189109
56849696	1311000202107
56849697	1261000189103
56849699	1151000189109
56849700	1271000189107
56849702	1291000189106
5746703	733876003
5746705	21000202108
5746735	91000210107
5746736	450970008
5746737	450970008
57702611	1301000189105
57702612	1301000189105
57918703	TMP-pn05o2
57918705	TMP-af5kkj
57918714	1301000189105
57918715	1141000189106
57918716	1141000189106
57918718	1141000189106
57918732	5961000202107
57918733	6001000202100
58336903	62201000052106
58337653	TMP-c45h7m
58337656	TMP-0emwb4
58337657	59821000052101
58337658	59821000052101
58337659	21000233105
58871953	723264001
58954403	TMP-eoihtx
58954404	TMP-x9a8q9
58954409	2801000189105
58954411	TMP-i5whsa
58954413	6721000202109
58954414	61000269105
58954415	6991000202105
58954416	TMP-epk662
58954417	TMP-pmmxvk
58954423	TMP-u238vm
59058303	TMP-egtjr7
59058304	1991000202102
59058305	0
59058308	51000269108
59058309	RM-LocaisAnatomicos
59058310	TMP-q3extc
59058311	997341000189105
59058314	997331000189104
59058317	TMP-dwze0j
59058318	TMP-9mr5cr
59058319	TMP-t15qox
59058320	TMP-ezoujo
5942202	TMP-jv126p
5942203	TMP-f4yog6
5942209	TMP-l5aupz
5942210	TMP-o412dw
5942211	TMP-wufo14
5942213	56421000052109
5942215	56431000052106
5942222	723264001
5942223	723264001
5942226	723264001
5942229	53351000052100
5942230	53361000052102
5942231	46051000052106
5942232	56431000052106
5942233	53371000052106
5942234	53381000052108
5942235	53611000052108
5942248	TMP-gc1pyc
5942249	TMP-1hi4o1
59805103	TMP-up59ru
59805104	TMP-nrj155
59805105	TMP-d0qzs0
59805107	TMP-qqlb5c
59805109	TMP-u7jogm
59805110	TMP-77w9i9
60053153	TMP-jazksz
60063453	TMP-o09inv
60063454	TMP-r88s65
60063455	TMP-pd6ct1
60063456	TMP-rsy67r
60159104	TMP-4mga1t
60159105	1991000202102
60159106	TMP-6f3ecy
60159107	TMP-xswo2j
