terminologyId	description
110871000146106	Handpicked set of wound care interventions.
110871000146106	Handpicked set of wound care interventions.
110871000146106	Handpicked set of wound care interventions.
110881000146108	Handpicked set of fall risk care interventions.
110881000146108	Handpicked set of fall risk care interventions.
110881000146108	Handpicked set of fall risk care interventions.
110881000146108	Handpicked set of fall risk care interventions.
110891000146105	Handpicked set of delirium care  interventions.
110891000146105	Handpicked set of delirium care  interventions.
110891000146105	Handpicked set of delirium care  interventions.
110891000146105	Handpicked set of delirium care  interventions.
110901000146106	Handpicked set of suicide care interventions.
110901000146106	Handpicked set of suicide care interventions.
110901000146106	Handpicked set of suicide care interventions.
110901000146106	Handpicked set of suicide care interventions.
110911000146108	Handpicked set of psychosocial care interventions.
110911000146108	Handpicked set of psychosocial care interventions.
110911000146108	Handpicked set of psychosocial care interventions.
110911000146108	Handpicked set of psychosocial care interventions.
1111000189105	Tuberculosis
1111000189105	Tuberculosis
1111000189105	Tuberculosis
11122233	Test
1112234	Test Smoking
1119410008	DICOM free set
1119410008	DICOM free set
1119410008	DICOM free set
11201000202100	Alle begrep foreslått til HP	 uansett hierarki
1131000189100	Cardiology
1131000189100	Cardiology
1131000189100	Cardiology
113388	refset nursing ICNP
1133881	refset test for nursing icnp
113471000052100	urval förekomst av transplantat	 uppmärksamhetsinformation
113471000052100	urval förekomst av transplantat	 uppmärksamhetsinformation
113471000052100	urval förekomst av transplantat	 uppmärksamhetsinformation
113471000052100	urval förekomst av transplantat	 uppmärksamhetsinformation
1141000189106	Cardiothoracic and Vascular Surgery
1141000189106	Cardiothoracic and Vascular Surgery
1141000189106	Cardiothoracic and Vascular Surgery
1141000195107	Translated concepts used in the swiss national EPR.
1151000189109	Dermatology
1151000189109	Dermatology
1151000189109	Dermatology
1157358007	Nursing practice concepts
1157358007	Nursing practice concepts
1157358007	Nursing practice concepts
11581000202109	Bokmål
1161000189107	Emergency
1161000189107	Emergency
1161000189107	Emergency
11621000202109	Only for test
1171000189103	Fetal Medicine
1171000189103	Fetal Medicine
1171000189103	Fetal Medicine
11721000146100	148 concepts	 which have been translated to Dutch and also possess Dutch textual definitions.
11721000146100	148 concepts	 which have been translated to Dutch and also possess Dutch textual definitions.
11721000146100	148 concepts	 which have been translated to Dutch and also possess Dutch textual definitions.
11721000146100	148 concepts	 which have been translated to Dutch and also possess Dutch textual definitions.
11721000202101	Immunnology_procedures_after_anatomy
117701000146105	Handpicked
117701000146105	Handpicked
117701000146105	Handpicked
117701000146105	Handpicked
117711000146107	Dutch nursing problems extended with sections of e-transfer	 to be able to sort the nursing problems according to the e-transfer sections
117711000146107	Dutch nursing problems extended with sections of e-transfer	 to be able to sort the nursing problems according to the e-transfer sections
117711000146107	Dutch nursing problems extended with sections of e-transfer	 to be able to sort the nursing problems according to the e-transfer sections
117711000146107	Dutch nursing problems extended with sections of e-transfer	 to be able to sort the nursing problems according to the e-transfer sections
117721000146102	Dutch implants reference set - intensional
117721000146102	Dutch implants reference set - intensional
117721000146102	Dutch implants reference set - intensional
117721000146102	Dutch implants reference set - intensional
117731000146100	Dutch implants reference set - extensional
117731000146100	Dutch implants reference set - extensional
117731000146100	Dutch implants reference set - extensional
117731000146100	Dutch implants reference set - extensional
1181000189101	Gastroenterology
1181000189101	Gastroenterology
1181000189101	Gastroenterology
118491000003109	Module D Exercise 1
1191000189104	General Surgery
1191000189104	General Surgery
1191000189104	General Surgery
12	Orthopedic_HISTORY
1201000189102	Geriatrics
1201000189102	Geriatrics
1201000189102	Geriatrics
121000210100	Rheumatology subset has been developed to support reporting to National Patient Flow. This does not limit the use of this subset elsewhere in a clinical record
121000210100	Rheumatology subset has been developed to support reporting to National Patient Flow. This does not limit the use of this subset elsewhere in a clinical record
121000210100	NZ SACT dose unit
121000210100	Rheumatology refset has been developed to support reporting to National Patient Flow. This does not limit the use of this refset elsewhere in a clinical record
121000210100	Rheumatology refset has been developed to support reporting to National Patient Flow. This does not limit the use of this refset elsewhere in a clinical record
121000210100	Rheumatology subset has been developed to support reporting to National Patient Flow. This does not limit the use of this subset elsewhere in a clinical record
121000210100	Rheumatology refset has been developed to support reporting to National Patient Flow. This does not limit the use of this refset elsewhere in a clinical record
121000210100	NZ SACT dose unit
121000210100	Rheumatology refset has been developed to support reporting to National Patient Flow. This does not limit the use of this refset elsewhere in a clinical record
121000210100	Rheumatology refset has been developed to support reporting to National Patient Flow. This does not limit the use of this refset elsewhere in a clinical record
121000210100	Rheumatology refset has been developed to support reporting to National Patient Flow. This does not limit the use of this refset elsewhere in a clinical record
121000269108	Concepts of symptoms	 diagnoses and procedures
1211000189100	Nephrology
1211000189100	Nephrology
1211000189100	Nephrology
1212	test
121521000210105	The refset was created to capture COVID  symptoms identified by the Ministry of Health. This can be used for capturing symptoms when someone is undergoing a COVID-19 related assessment or test.
121521000210105	The refset was created to capture COVID  symptoms identified by the Ministry of Health. This can be used for capturing symptoms when someone is undergoing a COVID-19 related assessment or test.
121521000210105	The refset was created to capture COVID  symptoms identified by the Ministry of Health. This can be used for capturing symptoms when someone is undergoing a COVID-19 related assessment or test.
121531000210107	The refset provides a standard coded term for recording each radiology procedure.The refset to be used and extended by other implementers of radiology ordering systems around the country.
121531000210107	The refset provides a standard coded term for recording each radiology procedure.The refset to be used and extended by other implementers of radiology ordering systems around the country.
121531000210107	The refset provides a standard coded term for recording each radiology procedure.The refset to be used and extended by other implementers of radiology ordering systems around the country.
1221000189108	Neurology
1221000189108	Neurology
1221000189108	Neurology
1231000189105	Neurosurgery
1231000189105	Neurosurgery
1231000189105	Neurosurgery
1234	RD trying a demo refest
1234	Workflowtest 13.04.2021
12345	A demonstration of the refset tool
12345	refset
12345001	test
12345001	test
123456	Diseases of the heart	 cardiac vessels and pericardium
1234567	Intensional test
123456768	PID Additional
1234567789	Hepatobiliary Pancreatic Department 2
1234567789	Hepatobiliary Pancreatic Department 2
123456789	Test failure of workflow
123456789	Test 1
12401000202106	Upload
1241000189104	Obstetrics and Gynecology
1241000189104	Obstetrics and Gynecology
1241000189104	Obstetrics and Gynecology
125061000220102	Adult oncology daycare nursing discharge reference set Ireland (foundation metadata concept)
125061000220102	Adult oncology daycare nursing discharge reference set Ireland (foundation metadata concept)
1251000189101	Oncology
1251000189101	Oncology
1251000189101	Oncology
125321000220105	Epilepsy Refset Ireland
125321000220105	Epilepsy Refset Ireland
1261000189103	Orthopedics
1261000189103	Orthopedics
1261000189103	Orthopedics
1271000189107	Pediatrics
1271000189107	Pediatrics
1271000189107	Pediatrics
1271000202107	Helsenorges referansesett for råd og veiledning
1271000202107	Helsenorges referansesett for råd og veiledning
12711000202103	Modifikatorer til bruk i Helsedirektoratets retningslinjer
12711000202103	Modifikatorer til bruk i Helsedirektoratets retningslinjer
1281000189109	Psychiatry
1281000189109	Psychiatry
1281000189109	Psychiatry
1281000202109	Helsenorges referansesett for anatomi
1281000202109	Helsenorges referansesett for anatomi
1281000245109	Test
1281000245109	Test
12881000202101	Medicinal product form
12881000202101	Medicinal product form
12881000202101	Medicinal product form
12881000202101	Medicinal product form
1291000189106	Radiology
1291000189106	Radiology
1291000189106	Radiology
1291000202106	Norwegian directorate reference set for infectious disease in health guidelines
1291000202106	Norwegian directorate reference set for infectious disease in health guidelines
1291000202106	Norwegian directorate reference set for infectious disease in health guidelines
13	ORTHOPEDICS_GE DESCRIPTION
1301000189105	Rheumatology
1301000189105	Rheumatology
1301000189105	Rheumatology
1301000202105	Helsedirektoratets referansesett for mikrober i retningslinjer
131000210103	General Surgery refset has been developed to support reporting to National Patient Flow. this does not limit the use of this refset elsewhere in a clinical record.
131000210103	General Surgery subset has been developed to support reporting to National Patient Flow. this doens not limit hte use of this subset elsewhere in a clinical record.
131000210103	General Surgery refset has been developed to support reporting to National Patient Flow. this does not limit the use of this refset elsewhere in a clinical record.
131000210103	General Surgery refset has been developed to support reporting to National Patient Flow. this does not limit the use of this refset elsewhere in a clinical record.
131000210103	General Surgery refset has been developed to support reporting to National Patient Flow. this does not limit the use of this refset elsewhere in a clinical record.
131000210103	General Surgery refset has been developed to support reporting to National Patient Flow. this does not limit the use of this refset elsewhere in a clinical record.
131000210103	NZ SACT dose form
131000210103	NZ SACT dose form
131000210103	General Surgery refset has been developed to support reporting to National Patient Flow. this does not limit the use of this refset elsewhere in a clinical record.
131000210103	General Surgery refset has been developed to support reporting to National Patient Flow. this does not limit the use of this refset elsewhere in a clinical record.
131000210103	General Surgery subset has been developed to support reporting to National Patient Flow. this doens not limit hte use of this subset elsewhere in a clinical record.
1311000202107	Helsedirektoratets referansesett for virkestoff i retningslinje
1311000202107	Helsedirektoratets referansesett for virkestoff i retningslinje
1311000202107	Helsedirektoratets referansesett for virkestoff i retningslinje
1311000202107	Helsedirektoratets referansesett for virkestoff i retningslinje
1311000202107	Helsedirektoratets referansesett for virkestoff i retningslinje
1311000202107	Helsedirektoratets referansesett for virkestoff i retningslinje
1311000202107	Helsedirektoratets referansesett for virkestoff i retningslinje
138451000202107	ICNP intervensjoner i Norge
14	ORTHOPEDIC_Diagnosis Description
140301000146101	List of antimicrobial susceptibility test results	 e.g. susceptible or resistant.
140301000146101	List of antimicrobial susceptibility test results	 e.g. susceptible or resistant.
140301000146101	List of antimicrobial susceptibility test results	 e.g. susceptible or resistant.
140301000146101	List of antimicrobial susceptibility test results	 e.g. susceptible or resistant.
140741000146104	Handpicked set of 55 procedures that are relevant in mental health care.
140741000146104	Handpicked set of 55 procedures that are relevant in mental health care.
140741000146104	Handpicked set of 55 procedures that are relevant in mental health care.
140741000146104	Handpicked set of 55 procedures that are relevant in mental health care.
140961000146101	Handpicked set of delirium observations.
140961000146101	Handpicked set of delirium observations.
140961000146101	Handpicked set of delirium observations.
140961000146101	Handpicked set of delirium observations.
