id	negated	value
102409515	\0	((((<185823004 |Finding of skin texture|: [0..0] 363698007 |Finding site (attribute)| = < 20795001 |Structure of skin region (body structure)|) MINUS << 366649008 |Finding of thickness of skin (finding)|))\nMINUS << 297947008 |Finding of consistency of skin (finding)|)\nMINUS << 276323006 |Finding of color of skin (finding)|
102411603	\0	< 410720000 | Pain by sensation quality (finding) |
102411607	\0	<185823004 |Finding of skin texture (finding)|
102411608	\0	*:404684003 |Clinical finding|=185823004 |Finding of skin texture (finding)|
102411609	\0	<185823004 |Finding of skin texture (finding)|
102420103	\0	< 410720000 | Pain by sensation quality (finding) |
102420107	\0	< 410720000 |Pain by sensation quality (finding)|: [0..0] 363698007 |Finding site| = *
102458503	\0	< 185823004 |Finding of skin texture (finding)|
102458507	\0	< 185823004 |Finding of skin texture (finding)|
102458508	\0	< 274672009 |Changes in skin texture (finding)|
102458509	\0	< 367394000 |Texture of skin or mucosa (finding)|
102458510		<< 366649008 |Finding of thickness of skin (finding)|
102458511		<< 297947008 |Finding of consistency of skin (finding)|
102458512		<< 276323006 |Finding of color of skin (finding)|
102470603	\0	<<185823004 |Finding of skin texture (finding)|
102470605	\0	<<185823004 |Finding of skin texture (finding)|
102470606	\0	<185823004 |Finding of skin texture (finding)|: [1..1] 363698007 |Finding site| = 39937001 |Skin structure (body structure)|
102470607	\0	<185823004 |Finding of skin texture (finding)|: 363698007 |Finding site| = 39937001 |Skin structure (body structure)|
102476003	\0	<185823004 |Finding of skin texture (finding)| MINUS (<<366649008 |Finding of thickness of skin (finding)| OR <<297947008 |Finding of consistency of skin (finding)|)
102476004	\0	<185823004 |Finding of skin texture (finding)| MINUS (<<366649008 |Finding of thickness of skin (finding)| OR <<297947008 |Finding of consistency of skin (finding)| OR <<275887009 |Scaly scalp (finding)| OR << 248194004 |Wrinkled face (finding)|)
102482953	\0	< 185823004 |Finding of skin texture (finding)|\nMINUS ( << 366649008 |Finding of thickness of skin (finding)| \nOR << 297947008 |Finding of consistency of skin (finding)|\nOR << 248194004 |Wrinkled face (finding)| \nOR << 275887009 |Scaly scalp (finding)| )
102482954	\0	< 185823004 |Finding of skin texture (finding)|\nMINUS ( << 366649008 |Finding of thickness of skin (finding)| \nOR << 297947008 |Finding of consistency of skin (finding)|\nOR << 248194004 |Wrinkled face (finding)| \nOR << 275887009 |Scaly scalp (finding)| )
102615953	\0	< 410720000 | Pain by sensation quality (finding) |
102615954		<< 123037004 |Body structure (body structure)|
102615956	\0	< 410720000 |Pain by sensation quality (finding)|
102615957	\0	< 410720000 |Pain by sensation quality (finding)|: [0..0] 363698007 |Finding site| = *
102622053	\0	< 185823004 |Finding of skin texture (finding)|
102622054	\0	(< 185823004 |Finding of skin texture (finding)| MINUS << 297947008 |Finding of consistency of skin (finding)|) MINUS << 366649008 |Finding of thickness of skin (finding)|
102622055	\0	<185823004 |Finding of skin texture (finding)|
